1	3	4	5	9	15	16	18	19	21	24	27
-0.0173325-0.118102i	-0.105668-0.0326362i	-0.057883+0.100913i	-0.057824+0.101006i	0.00151181-0.00224335i	0.000566276-0.00243898i	-0.000910922+7.18926e-05i	-0.00091168+7.11701e-05i	0.00733291-0.00694963i	0.00413097-0.00815999i	-0.00340179-0.000544963i	-0.00333155-0.000467403i	-0.210082+0.0481521i	-0.21009+0.0481252i	-1.14081e-05-2.33571e-05i	-1.22835e-05-2.40235e-05i
-0.0274249-0.105195i	-0.0942262-0.0154241i	-0.0196882+0.113197i	-0.0197206+0.113088i	0.00104626-0.00239183i	0.000177304-0.00233702i	-0.000773101+0.00044994i	-0.000771693+0.000450106i	0.00562007-0.00774946i	0.00273964-0.00826611i	-0.00318059+0.00102734i	-0.00311348+0.000979035i	-0.190466+0.101881i	-0.190478+0.101862i	-2.0977e-05-1.35081e-05i	-2.17519e-05-1.30373e-05i
-0.0268835-0.0980735i	-0.0818324-0.0133188i	0.0221928+0.106281i	0.0221875+0.10638i	0.000672182-0.00243391i	-8.73916e-05-0.00226089i	-0.00044853+0.00070862i	-0.000449099+0.00070719i	0.00439622-0.0080976i	0.00158632-0.00838367i	-0.00215619+0.00219419i	-0.00219008+0.00213799i	-0.15855+0.147523i	-0.158563+0.147508i	-2.31009e-05-3.72536e-07i	-2.304e-05+3.76106e-07i
-0.0239351-0.104404i	-0.0826276-0.0226344i	0.0541908+0.0791019i	0.05424+0.0790354i	0.000389264-0.00249282i	-0.000349408-0.00228443i	-5.40675e-05+0.000729994i	-5.37878e-05+0.000730225i	0.00351482-0.00864232i	0.000423455-0.00860485i	-0.000784024+0.00255052i	-0.000831224+0.00257481i	-0.117357+0.182803i	-0.117373+0.182788i	-1.74744e-05+1.05674e-05i	-1.68997e-05+1.0867e-05i
-0.0326207-0.121315i	-0.101616-0.0263831i	0.0644303+0.0430274i	0.0643476+0.0430436i	8.63924e-05-0.00263185i	-0.000744599-0.00231748i	0.000227555+0.000541888i	0.000227659+0.000540447i	0.00242983-0.00948102i	-0.000974093-0.00880248i	0.000353555+0.00213967i	0.000371496+0.00217896i	-0.0701042+0.206409i	-0.0701284+0.206397i	-7.74354e-06+1.52093e-05i	-7.19754e-06+1.49396e-05i
-0.0567303-0.135405i	-0.126532-0.0119642i	0.0555634+0.0151561i	0.0556509+0.0151961i	-0.000340649-0.00276444i	-0.0012391-0.00219516i	0.000315654+0.000298084i	0.000314341+0.000297995i	0.000881154-0.0102452i	-0.00265642-0.00870373i	0.000916543+0.00135942i	0.000949272+0.00134345i	-0.0199602+0.21791i	-0.0199915+0.217906i	9.5804e-07+1.32947e-05i	1.0719e-06+1.26754e-05i
-0.0888129-0.137278i	-0.142824+0.0178196i	0.0406481+0.00108552i	0.0405929+0.00100288i	-0.000865669-0.00278147i	-0.00168724-0.00187644i	0.000274831+0.000126429i	0.000275185+0.000126292i	-0.000992652-0.0106154i	-0.00444047-0.00806136i	0.000938185+0.000651317i	0.000919922+0.000620224i	0.0301502+0.217625i	0.0301171+0.217634i	5.29524e-06+7.93948e-06i	4.80807e-06+7.44944e-06i
-0.120335-0.127433i	-0.145106+0.053344i	0.0274971-0.00339595i	0.0274941-0.00330618i	-0.00140084-0.00264221i	-0.00199261-0.00143214i	0.000201853+4.1544e-05i	0.000200586+4.09457e-05i	-0.00296635-0.010516i	-0.00599794-0.00681604i	0.00068702+0.000248306i	0.000649319+0.000268206i	0.0776784+0.206475i	0.0776497+0.206497i	5.2334e-06+3.01586e-06i	4.47938e-06+3.1795e-06i
-0.146836-0.10918i	-0.134929+0.0873359i	0.0185004-0.00278551i	0.018557-0.00283647i	-0.00188451-0.0023705i	-0.00213422-0.000949118i	0.000138148+1.11976e-05i	0.000137692+1.20857e-05i	-0.00490152-0.0099664i	-0.00703095-0.00514045i	0.000433576+0.000130792i	0.000446954+0.000181119i	0.12053+0.185823i	0.12051+0.185854i	3.06915e-06+6.92015e-07i	2.79036e-06+1.50195e-06i
-0.167495-0.086225i	-0.115424+0.116243i	0.0134119-0.00075351i	0.013342-0.000771169i	-0.00227932-0.00200423i	-0.00213257-0.00049046i	9.70747e-05+1.00798e-05i	9.71353e-05+1.0005e-05i	-0.0066774-0.00897672i	-0.00741569-0.00334558i	0.00030384+0.000147822i	0.000364527+0.000152968i	0.157099+0.157325i	0.157088+0.157362i	1.28568e-06+7.54599e-07i	1.89181e-06+1.46958e-06i
-0.182111-0.0608312i	-0.0894134+0.138366i	0.0106014+0.00126785i	0.0106297+0.00134162i	-0.00257817-0.00157832i	-0.00201993-9.25069e-05i	7.74278e-05+1.5671e-05i	7.65491e-05+1.58316e-05i	-0.00814103-0.00761093i	-0.00722975-0.00172647i	0.000278892+0.000165371i	0.000310972+0.000105746i	0.186262+0.122797i	0.186263+0.122838i	9.9105e-07+1.63547e-06i	1.98636e-06+1.46867e-06i
